ROB Size,Width,IQ Size,#Instructions,# Cycles,IPC
512,1,8,10000,10079,0.992162
512,1,16,10000,10032,0.996810
512,1,32,10000,10032,0.996810
512,1,64,10000,10032,0.996810
512,1,128,10000,10032,0.996810
512,1,256,10000,10032,0.996810
512,2,8,10000,5394,1.853912
512,2,16,10000,5054,1.978631
512,2,32,10000,5033,1.986887
512,2,64,10000,5033,1.986887
512,2,128,10000,5033,1.986887
512,2,256,10000,5033,1.986887
512,4,8,10000,4391,2.277386
512,4,16,10000,2914,3.431709
512,4,32,10000,2584,3.869969
512,4,64,10000,2541,3.935458
512,4,128,10000,2541,3.935458
512,4,256,10000,2541,3.935458
512,8,8,10000,7525,1.328904
512,8,16,10000,2647,3.777862
512,8,32,10000,1621,6.169031
512,8,64,10000,1363,7.336757
512,8,128,10000,1293,7.733952
512,8,256,10000,1293,7.733952
