ROB Size,Width,IQ Size,#Instructions,# Cycles,IPC
32,1,8,10000,10079,0.992162
64,1,8,10000,10079,0.992162
128,1,8,10000,10079,0.992162
256,1,8,10000,10079,0.992162
512,1,8,10000,10079,0.992162
32,2,16,10000,5332,1.875469
64,2,16,10000,5054,1.978631
128,2,16,10000,5054,1.978631
256,2,16,10000,5054,1.978631
512,2,16,10000,5054,1.978631
32,4,32,10000,4197,2.382654
64,4,32,10000,2915,3.430532
128,4,32,10000,2584,3.869969
256,4,32,10000,2584,3.869969
512,4,32,10000,2584,3.869969
32,8,64,10000,4285,2.333722
64,8,64,10000,2526,3.958828
128,8,64,10000,1617,6.184292
256,8,64,10000,1363,7.336757
512,8,64,10000,1363,7.336757
