ROB Size,Width,IQ Size,#Instructions,# Cycles,IPC
32,1,8,10000,10248,0.975800
64,1,8,10000,10248,0.975800
128,1,8,10000,10248,0.975800
256,1,8,10000,10248,0.975800
512,1,8,10000,10248,0.975800
32,2,32,10000,5584,1.790831
64,2,32,10000,5069,1.972776
128,2,32,10000,5067,1.973554
256,2,32,10000,5067,1.973554
512,2,32,10000,5067,1.973554
32,4,64,10000,4563,2.191541
64,4,64,10000,3161,3.163556
128,4,64,10000,2609,3.832886
256,4,64,10000,2582,3.872967
512,4,64,10000,2582,3.872967
32,8,128,10000,4581,2.182929
64,8,128,10000,2845,3.514938
128,8,128,10000,1866,5.359057
256,8,128,10000,1419,7.047216
512,8,128,10000,1344,7.440476
